Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
A Bagai,15,343,556,13,26.38,61.69,84,38,0,2,0
A Balbirnie,6,236,260,6,39.33,90.77,97,20,4,2,0
A Codrington,5,28,65,5,5.60,43.08,16,2,0,0,0
A Dutt,9,70,87,6,11.67,80.46,23,1,5,0,0
A Flintoff,12,248,357,12,20.67,69.47,64,20,7,1,0
A Flower,7,332,459,7,47.43,72.33,71,30,1,3,0
A Kumble,2,25,45,1,25.00,55.56,16,1,0,0,0
A Nehra,3,9,9,2,4.50,100.00,8,2,0,0,0
A Nel,2,9,46,2,4.50,19.57,8,1,0,0,0
A Patel,1,25,29,1,25.00,86.21,25,3,0,0,0
A Shahzad,2,7,5,1,7.00,140.00,6,0,1,0,0
A Symonds,13,515,552,5,103.00,93.30,143,51,10,3,1
A Zampa,7,49,63,4,12.25,77.78,29,5,0,0,0
AA Mulla,3,83,101,3,27.67,82.18,58,7,2,1,0
AA Obanda,3,43,65,3,14.33,66.15,23,4,2,0,0
AAP Atkinson,3,37,23,2,18.50,160.87,35,7,0,0,0
AB Agarkar,2,10,27,2,5.00,37.04,10,0,0,0,0
AB de Villiers,22,"1,207","1,029",19,63.53,117.30,162,121,37,6,4
Abdul Razzaq,11,203,273,9,22.56,74.36,62,23,0,1,0
Abdullah Shafique,8,336,361,8,42.00,93.07,113,36,9,3,1
Abdur Razzak,11,44,88,9,4.89,50.00,15,3,0,0,0
Abdur Rehman,2,6,13,1,6.00,46.15,5,0,0,0,0
AC Botha,9,84,174,8,10.50,48.28,28,4,1,0,0
AC Cummins,2,10,11,1,10.00,90.91,9,1,0,0,0
AC Evans,3,38,57,2,19.00,66.67,28,5,0,0,0
AC Gilchrist,21,861,823,20,43.05,104.62,149,114,17,6,1
AD Hales,2,64,67,2,32.00,95.52,37,7,2,0,0
AD Mathews,20,584,699,17,34.35,83.55,113,45,13,2,1
AD Russell,12,192,143,10,19.20,134.27,49,12,15,0,0
Adeel Raja,4,10,34,3,3.33,29.41,8,1,0,0,0
ADR Campbell,1,7,25,1,7.00,28.00,7,0,0,0,0
AF Buurman,2,26,32,2,13.00,81.25,26,4,0,0,0
AF Giles,2,19,30,2,9.50,63.33,17,0,1,0,0
AF Milne,2,1,5,1,1.00,20.00,1,0,0,0,0
